Year,Trial,ID,Block,NumPlants,PlantRank
2018,5,1,1,2,4
2018,5,2,1,4,2
2018,5,6,1,2,4
2018,5,10,2,3,3
2018,5,11,2,4,3
2018,5,17,2,2,2
2018,5,18,2,3,4
2018,5,21,3,3,0
2018,5,23,3,2,3
2018,5,24,3,2,0
2018,5,26,3,2,3
2018,5,27,3,4,3
2018,6,2,1,4,2
2018,6,5,1,3,3
2018,6,7,1,2,4
2018,6,11,2,3,3
2018,6,12,2,4,2
2018,6,14,2,3,4
2018,6,19,3,2,3
2018,6,20,3,3,4
2018,6,22,3,3,2
2018,6,23,3,4,1
2018,6,25,3,4,2
2018,6,26,3,2,4
2018,6,28,4,2,2
2018,6,29,4,4,2
2018,6,30,4,4,0
2018,6,33,4,3,4
2018,6,34,4,2,2
2018,6,36,4,2,3
2018,6,37,5,4,2
2018,6,38,5,3,4
2018,6,39,5,2,3
2018,6,40,5,2,3
2018,6,41,5,2,0
2018,6,42,5,4,2
2018,6,43,5,3,0
2018,6,45,5,3,3
2018,6,47,6,3,2
2018,6,50,6,4,4
2018,6,51,6,4,0
2018,6,52,6,4,3
2018,6,53,6,3,4
2018,6,54,6,3,2
2018,6,55,7,3,3
2018,6,56,7,3,4
2018,6,58,7,3,2
2018,6,60,7,2,4
2018,6,67,8,2,3
2018,6,69,8,3,3
2018,6,70,8,4,3
2018,6,72,8,3,1
2018,6,73,9,2,1
2018,6,77,9,4,4
2018,6,79,9,3,3
2018,6,80,9,3,0
2018,7,1,1,2,3
2018,7,2,1,4,0
2018,7,3,1,2,1
2018,7,5,1,3,4
2018,7,9,1,4,3
2018,7,11,3,2,3
2018,7,12,3,3,1
2018,7,13,3,3,4
2018,7,15,3,2,2
2018,7,16,3,4,4
2018,7,17,3,4,3
2018,7,18,3,4,0
2018,7,20,4,4,0
2018,7,21,4,3,0
2018,7,22,4,3,2
2018,7,23,4,3,1
2018,7,26,4,2,3
2018,7,28,6,2,2
2018,7,30,6,4,3
2018,7,31,6,4,0
2018,7,33,6,2,3
2018,7,35,6,3,0
