Year,Trial,ID,Block,NumPlants,NeoToAdult,PDay,PWeight,PDuration,InstarToMove,DaysToMove,TimesMoved,Move1st,Move2nd,Move3rd,Move4th,Move5th,PlantAbandonment,Abandon1st,Abandon2nd,Abandon3rd,Abandon4th,Abandon5th,NumPlantsVisited,PercPlantsVisited,ObsOnPlant,ObsOnCage
2017,1,1,1,4,24,13,1.55,11,4,7,5,0,0,0,2,3,4,0,0,0,2,2,4,100,22,3
2017,1,2,1,3,21,11,1.31,10,4,7,3,0,0,0,2,1,2,0,0,0,1,1,1,33.33333333,20,3
2017,1,3,1,2,24,13,1.07,12,4,8,4,0,0,0,1,3,3,0,0,0,1,2,2,100,23,3
2017,1,4,1,3,22,11,1.15,11,4,6,4,0,0,0,1,3,3,0,0,0,1,2,2,66.66666667,18,5
2017,1,5,1,4,24,14,1.13,10,4,7,6,0,0,0,2,4,5,0,0,0,2,3,4,100,26,3
2017,1,9,1,2,24,13,1.32,11,4,7,4,0,0,0,1,3,3,0,0,0,1,2,2,100,20,6
2017,1,10,2,4,23,13,1.1,8,3,5,2,0,0,1,1,0,2,0,0,1,1,0,3,75,27,0
2017,1,11,2,2,24,12,1.38,12,5,11,1,0,0,0,0,1,1,0,0,0,0,1,2,100,25,0
2017,1,12,2,2,27,17,NA,10,4,7,2,0,0,0,1,1,2,0,0,0,1,1,2,100,32,3
2017,1,13,2,3,27,15,1.29,12,4,8,4,0,0,0,1,3,4,0,0,0,1,3,3,100,30,0
2017,1,15,2,2,23,12,1.46,11,3,5,5,0,0,1,2,2,5,0,0,1,2,2,2,100,22,3
2017,1,19,3,3,22,12,1.42,11,5,6,8,0,0,0,0,8,4,0,0,0,0,4,3,100,20,4
2017,1,21,3,2,24,13,1.28,11,4,6,4,0,0,1,1,2,4,0,0,1,1,2,2,100,23,3
2017,1,23,3,3,22,12,1.46,11,3,4,5,0,0,1,1,3,3,0,0,1,0,2,2,66.66666667,15,10
2017,1,25,3,4,23,12,1.41,11,5,9,3,0,0,0,0,3,3,0,0,0,0,3,3,75,22,3
2017,1,26,3,2,21,12,1.31,10,3,5,6,0,0,1,1,4,5,0,0,1,0,4,2,100,19,5
2017,2,2,1,4,22,12,1.35,10,3,5,2,0,0,1,0,1,2,0,0,1,0,1,3,75,24,0
2017,2,3,1,3,22,13,1.36,9,4,8,5,0,0,0,1,4,4,0,0,0,1,3,3,100,25,1
2017,2,4,1,4,21,11,1.38,10,3,6,3,0,0,1,0,2,3,0,0,1,0,2,2,50,20,3
2017,2,5,1,2,23,13,1.52,10,3,6,7,0,0,2,1,4,4,0,0,1,1,2,2,100,18,8
2017,2,7,1,3,25,14,1.44,11,4,9,3,0,0,0,1,2,3,0,0,0,1,2,3,100,28,0
2017,2,9,1,2,23,12,1.47,11,4,7,3,0,0,0,1,2,3,0,0,0,1,2,2,100,22,2
2017,2,10,2,2,21,11,1.19,10,3,4,6,0,0,2,1,3,4,0,0,1,1,2,2,100,16,6
2017,2,11,2,4,23,13,1.38,10,4,9,2,0,0,0,1,1,2,0,0,0,1,1,3,75,26,0
2017,2,14,2,2,22,11,1.3,11,3,4,6,0,0,1,2,3,4,0,0,1,1,2,2,100,17,6
