Trial,ID,Block,NumPlants,Leaves
6,1,1,3,2
6,2,1,4,2
6,3,1,3,1
6,4,1,2,1
6,5,1,3,2
6,6,1,2,1
6,7,1,2,2
6,8,1,4,2
6,9,1,4,1
6,10,2,2,1
6,11,2,3,1
6,12,2,4,2
6,13,2,2,1
6,14,2,3,1
6,15,2,3,2
6,16,2,4,1
6,17,2,4,1
6,18,2,2,0
6,19,3,2,1
6,20,3,3,1
6,21,3,4,1
6,22,3,3,1
6,23,3,4,2
6,24,3,3,2
6,25,3,4,1
6,26,3,2,2
6,27,3,2,1
6,28,4,2,1
6,29,4,4,1
6,30,4,4,1
6,31,4,3,2
6,32,4,4,1
6,33,4,3,2
6,34,4,2,1
6,35,4,3,1
6,36,4,2,1
6,37,5,4,1
6,38,5,3,2
6,39,5,2,1
6,40,5,2,1
6,41,5,2,1
6,42,5,4,1
6,43,5,3,2
6,44,5,4,1
6,45,5,3,1
6,46,6,2,1
6,47,6,3,2
6,48,6,2,1
6,49,6,2,1
6,50,6,4,2
6,51,6,4,1
6,52,6,4,2
6,53,6,3,1
6,54,6,3,1
6,55,7,3,1
6,56,7,3,1
6,57,7,4,1
6,58,7,3,2
6,59,7,2,1
6,60,7,2,1
6,61,7,4,1
6,62,7,4,1
6,63,7,2,1
6,64,8,2,2
6,65,8,3,1
6,66,8,4,2
6,67,8,2,1
6,68,8,2,1
6,69,8,3,1
6,70,8,4,1
6,71,8,4,1
6,72,8,3,1
6,73,9,2,3
6,74,9,2,3
6,75,9,2,2
6,76,9,4,2
6,77,9,4,1
6,78,9,4,1
6,79,9,3,1
6,80,9,3,2
6,81,9,2,1
7,1,1,2,2
7,2,1,4,2
7,3,1,2,2
7,4,1,2,2
7,5,1,3,1
7,6,1,3,1
7,7,1,4,1
7,8,1,3,2
7,9,1,4,1
7,10,3,2,1
7,11,3,2,2
7,12,3,3,2
7,13,3,3,1
7,14,3,3,2
7,15,3,2,1
7,16,3,4,1
7,17,3,4,2
7,18,3,4,1
7,19,4,4,2
7,20,4,4,2
7,21,4,3,1
7,22,4,3,2
7,23,4,3,1
7,24,4,4,1
7,25,4,2,3
7,26,4,2,1
7,27,4,2,1
7,28,6,2,2
7,29,6,2,2
7,30,6,4,2
7,31,6,4,3
7,32,6,4,1
7,33,6,2,3
7,34,6,3,3
7,35,6,3,2
7,36,6,3,2
