Year,Trial,ID,Block,NumPlants,MoveInstar,Biomass
2018,5,1,1,2,4,72.98343906
2018,5,2,1,4,5,809.9598406
2018,5,5,1,4,4,40.07060624
2018,5,6,1,2,5,923.0181571
2018,5,7,1,3,4,109.8508371
2018,5,8,1,3,4,127.356687
2018,5,9,1,3,4,66.58171416
2018,5,10,2,3,4,204.6820951
2018,5,11,2,4,5,1390.627127
2018,5,15,2,2,4,172.2493549
2018,5,17,2,2,5,675.4336118
2018,5,18,2,3,4,146.1188238
2018,5,20,3,3,4,40.15634089
2018,5,23,3,2,5,1689.136949
2018,5,25,3,3,3,5.299848683
2018,5,26,3,2,5,798.9053223
2018,5,27,3,4,5,152.0806117
2018,6,2,1,4,5,171.4861747
2018,6,5,1,3,4,65.20507072
2018,6,7,1,2,4,158.7366175
2018,6,11,2,3,4,67.81241988
2018,6,12,2,4,3,30.81817809
2018,6,14,2,3,4,74.62253502
2018,6,19,3,2,2,12.15121108
2018,6,20,3,3,2,11.58170628
2018,6,22,3,3,3,28.08748136
2018,6,23,3,4,5,531.8760481
2018,6,25,3,4,4,91.87186113
2018,6,26,3,2,2,11.14501355
2018,6,28,4,2,4,69.53192119
2018,6,29,4,4,4,52.2275247
2018,6,33,4,3,4,31.19404311
2018,6,34,4,2,5,45.23751828
2018,6,36,4,2,2,9.959226489
2018,6,37,5,4,3,3.424619123
2018,6,38,5,3,4,16.91250419
2018,6,39,5,2,4,154.7724146
2018,6,40,5,2,4,103.5816721
2018,6,42,5,4,4,170.0336562
2018,6,45,5,3,2,8.111352026
2018,6,47,6,3,4,38.76970164
2018,6,50,6,4,3,9.620834702
2018,6,52,6,4,2,14.10960351
2018,6,53,6,3,3,20.8342515
2018,6,54,6,3,4,23.7075509
2018,6,55,7,3,3,31.24557679
2018,6,56,7,3,3,13.36215161
2018,6,58,7,3,5,88.97373082
2018,6,60,7,2,3,9.963736341
2018,6,67,8,2,3,18.56835353
2018,6,69,8,3,3,31.7399589
2018,6,70,8,4,4,81.70903668
2018,6,73,9,2,4,56.98579143
2018,6,77,9,4,4,47.56207697
2018,6,79,9,3,3,19.50243688
2018,6,80,9,3,4,180
2018,7,1,1,2,4,21.08032161
2018,7,2,1,4,4,47.48625904
2018,7,3,1,2,4,133.6356286
2018,7,5,1,3,2,2.016720455
2018,7,9,1,4,2,3.185203878
2018,7,11,3,2,4,133.5838615
2018,7,12,3,3,5,1232.930285
2018,7,13,3,3,4,196.9114327
2018,7,15,3,2,4,93.55973297
2018,7,16,3,4,4,53.28250227
2018,7,17,3,4,3,35.32320386
2018,7,21,4,3,5,1000
2018,7,22,4,3,4,35.48215621
2018,7,23,4,3,4,400
2018,7,26,4,2,4,76.19383578
2018,7,28,6,2,4,106.1296145
2018,7,30,6,4,3,45.49467131
2018,7,33,6,2,4,121.9899665
