Year,Trial,ID,Block,NumPlants,Plant,Biomass,Leaves
2018,5,27,3,4,Natal,152.0806117,5
2018,6,2,1,4,Natal,171.4861747,9
2018,6,12,2,4,Natal,30.81817809,7
2018,6,23,3,4,Natal,531.8760481,10
2018,6,37,5,4,Natal,3.424619123,1
2018,6,77,9,4,Natal,47.56207697,6
2018,7,16,3,4,Natal,53.28250227,2
2018,7,17,3,4,Natal,35.32320386,7
2018,7,30,6,4,Natal,45.49467131,5
2018,5,27,3,4,Subsequent,852.2481186,10
2018,6,2,1,4,Subsequent,1475.415614,11
2018,6,12,2,4,Subsequent,977.3834303,15
2018,6,23,3,4,Subsequent,886.1587554,9
2018,6,37,5,4,Subsequent,790,12
2018,6,77,9,4,Subsequent,900.9821314,7
2018,7,16,3,4,Subsequent,601.6863034,6
2018,7,17,3,4,Subsequent,1688.728464,14
2018,7,30,6,4,Subsequent,1642.556824,18
