Year,Trial,ID,NumPlants,Block,Instar,Movements,TimesObs,RelMovements,ArcSineMovements
2018,5,1,2,1,1,0,12,0,0
2018,5,1,2,1,3,0,12,0,0
2018,5,1,2,1,4,1,12,0.083333333,0.292842772
2018,5,1,2,1,2,2,12,0.166666667,0.420534335
2018,5,2,4,1,1,1,21,0.047619048,0.219987977
2018,5,2,4,1,2,1,21,0.047619048,0.219987977
2018,5,2,4,1,3,1,21,0.047619048,0.219987977
2018,5,2,4,1,4,2,21,0.095238095,0.313727886
2018,5,2,4,1,5,3,21,0.142857143,0.387596687
2018,5,5,4,1,1,0,7,0,0
2018,5,5,4,1,2,2,7,0.285714286,0.563942641
2018,5,5,4,1,3,2,7,0.285714286,0.563942641
2018,5,6,2,1,1,0,20,0,0
2018,5,6,2,1,2,1,20,0.05,0.225513406
2018,5,6,2,1,4,2,20,0.1,0.321750554
2018,5,6,2,1,5,2,20,0.1,0.321750554
2018,5,6,2,1,3,3,20,0.15,0.397699415
2018,5,7,3,1,1,0,11,0,0
2018,5,7,3,1,2,0,11,0,0
2018,5,7,3,1,3,2,11,0.181818182,0.440510663
2018,5,7,3,1,4,2,11,0.181818182,0.440510663
2018,5,8,3,1,1,0,11,0,0
2018,5,8,3,1,2,0,11,0,0
2018,5,8,3,1,3,1,11,0.090909091,0.306277369
2018,5,8,3,1,4,1,11,0.090909091,0.306277369
2018,5,9,3,1,1,0,10,0,0
2018,5,9,3,1,2,0,10,0,0
2018,5,9,3,1,3,0,10,0,0
2018,5,9,3,1,4,0,10,0,0
2018,5,10,3,2,1,0,14,0,0
2018,5,10,3,2,2,0,14,0,0
2018,5,10,3,2,3,0,14,0,0
2018,5,10,3,2,4,1,14,0.071428571,0.270549763
2018,5,11,4,2,1,0,20,0,0
2018,5,11,4,2,2,1,20,0.05,0.225513406
2018,5,11,4,2,3,2,20,0.1,0.321750554
2018,5,11,4,2,4,3,20,0.15,0.397699415
2018,5,11,4,2,5,7,20,0.35,0.633051836
2018,5,15,2,2,1,0,10,0,0
2018,5,15,2,2,2,0,10,0,0
2018,5,15,2,2,3,0,10,0,0
2018,5,15,2,2,4,1,10,0.1,0.321750554
2018,5,17,2,2,1,0,19,0,0
2018,5,17,2,2,3,1,19,0.052631579,0.231477364
2018,5,17,2,2,2,2,19,0.105263158,0.330422648
2018,5,17,2,2,4,3,19,0.157894737,0.408637855
2018,5,17,2,2,5,3,19,0.157894737,0.408637855
2018,5,18,3,2,1,0,13,0,0
2018,5,18,3,2,4,1,13,0.076923077,0.281034902
2018,5,18,3,2,3,2,13,0.153846154,0.403057074
2018,5,18,3,2,2,3,13,0.230769231,0.501093013
