Year,Trial,ID,Plants,Time,Movements
2017,1,1,4,AtNight,3
2017,1,2,3,AtNight,2
2017,1,3,2,AtNight,2
2017,1,4,3,AtNight,2
2017,1,5,4,AtNight,2
2017,1,9,2,AtNight,0
2017,1,10,4,AtNight,0
2017,1,11,2,AtNight,0
2017,1,12,2,AtNight,0
2017,1,13,3,AtNight,1
2017,1,15,2,AtNight,1
2017,1,19,3,AtNight,4
2017,1,21,2,AtNight,2
2017,1,23,3,AtNight,2
2017,1,25,4,AtNight,2
2017,1,26,2,AtNight,3
2017,2,2,4,AtNight,1
2017,2,3,3,AtNight,2
2017,2,4,4,AtNight,1
2017,2,5,2,AtNight,2
2017,2,7,3,AtNight,0
2017,2,9,2,AtNight,1
2017,2,10,2,AtNight,3
2017,2,11,4,AtNight,0
2017,2,14,2,AtNight,2
2017,2,15,4,AtNight,1
2017,2,16,4,AtNight,0
2017,2,17,3,AtNight,1
2017,2,20,4,AtNight,3
2017,2,21,2,AtNight,1
2017,2,22,3,AtNight,2
2017,2,24,2,AtNight,3
2017,2,25,4,AtNight,1
2017,2,26,2,AtNight,2
2017,3,2,3,AtNight,1
2017,3,3,2,AtNight,0
2017,3,5,2,AtNight,1
2017,3,6,2,AtNight,0
2017,3,7,3,AtNight,0
2017,3,8,4,AtNight,1
2017,3,12,4,AtNight,1
2017,3,13,2,AtNight,1
2017,3,14,3,AtNight,1
2017,3,15,4,AtNight,0
2017,3,16,4,AtNight,0
2017,3,17,2,AtNight,2
2017,3,18,3,AtNight,1
2017,3,19,4,AtNight,2
2017,3,20,4,AtNight,2
2017,3,21,3,AtNight,1
2017,3,22,4,AtNight,2
2017,3,23,2,AtNight,2
2017,3,24,2,AtNight,1
2017,3,25,2,AtNight,0
2017,3,26,3,AtNight,2
2017,4,1,2,AtNight,0
2017,4,2,3,AtNight,1
2017,4,3,4,AtNight,1
2017,4,4,4,AtNight,0
2017,4,5,4,AtNight,0
2017,4,6,2,AtNight,4
2017,4,7,2,AtNight,2
2017,4,10,2,AtNight,1
2017,4,11,3,AtNight,1
2017,4,12,4,AtNight,1
2017,4,13,3,AtNight,0
2017,4,14,3,AtNight,0
2017,4,16,4,AtNight,2
2017,4,17,2,AtNight,0
2017,4,18,4,AtNight,2
2017,4,19,3,AtNight,1
2017,4,20,4,AtNight,2
2017,4,21,4,AtNight,0
2017,4,22,3,AtNight,2
2017,4,25,2,AtNight,0
2017,4,26,4,AtNight,0
2017,4,27,2,AtNight,2
2017,1,1,4,DuringDay,2
2017,1,2,3,DuringDay,1
2017,1,3,2,DuringDay,2
2017,1,4,3,DuringDay,2
2017,1,5,4,DuringDay,4
2017,1,9,2,DuringDay,4
2017,1,10,4,DuringDay,2
2017,1,11,2,DuringDay,1
2017,1,12,2,DuringDay,2
2017,1,13,3,DuringDay,3
2017,1,15,2,DuringDay,4
2017,1,19,3,DuringDay,4
2017,1,21,2,DuringDay,2
2017,1,23,3,DuringDay,3
2017,1,25,4,DuringDay,1
2017,1,26,2,DuringDay,3
2017,2,2,4,DuringDay,1
2017,2,3,3,DuringDay,3
2017,2,4,4,DuringDay,2
2017,2,5,2,DuringDay,5
2017,2,7,3,DuringDay,3
2017,2,9,2,DuringDay,2
2017,2,10,2,DuringDay,3
2017,2,11,4,DuringDay,2
2017,2,14,2,DuringDay,4
2017,2,15,4,DuringDay,5
2017,2,16,4,DuringDay,1
2017,2,17,3,DuringDay,2
2017,2,20,4,DuringDay,5
2017,2,21,2,DuringDay,0
2017,2,22,3,DuringDay,2
2017,2,24,2,DuringDay,2
2017,2,25,4,DuringDay,1
2017,2,26,2,DuringDay,1
2017,3,2,3,DuringDay,3
2017,3,3,2,DuringDay,2
2017,3,5,2,DuringDay,1
2017,3,6,2,DuringDay,3
2017,3,7,3,DuringDay,1
2017,3,8,4,DuringDay,2
2017,3,12,4,DuringDay,2
2017,3,13,2,DuringDay,2
2017,3,14,3,DuringDay,3
2017,3,15,4,DuringDay,1
2017,3,16,4,DuringDay,2
2017,3,17,2,DuringDay,3
2017,3,18,3,DuringDay,2
2017,3,19,4,DuringDay,1
2017,3,20,4,DuringDay,1
2017,3,21,3,DuringDay,2
2017,3,22,4,DuringDay,1
2017,3,23,2,DuringDay,1
2017,3,24,2,DuringDay,1
2017,3,25,2,DuringDay,2
2017,3,26,3,DuringDay,1
2017,4,1,2,DuringDay,3
2017,4,2,3,DuringDay,4
2017,4,3,4,DuringDay,1
2017,4,4,4,DuringDay,3
2017,4,5,4,DuringDay,1
2017,4,6,2,DuringDay,2
2017,4,7,2,DuringDay,4
2017,4,10,2,DuringDay,4
2017,4,11,3,DuringDay,4
2017,4,12,4,DuringDay,2
2017,4,13,3,DuringDay,3
2017,4,14,3,DuringDay,1
2017,4,16,4,DuringDay,4
2017,4,17,2,DuringDay,2
2017,4,18,4,DuringDay,5
2017,4,19,3,DuringDay,1
2017,4,20,4,DuringDay,5
2017,4,21,4,DuringDay,3
2017,4,22,3,DuringDay,2
2017,4,25,2,DuringDay,2
2017,4,26,4,DuringDay,4
2017,4,27,2,DuringDay,2
