Year,Trial,Block,Cage,NumPlants,LT,LM,LB,ST,SNV,SB,SS,TimesObs,MoveOnNatal,RLT,RLM,RLB,RST,RSNV,RSB,RSS,RMoveOnStem,
2018,5,1,1,2,6,3,4,1,4,8,0,13,3,0.461538462,0.230769231,0.307692308,0.076923077,0.307692308,0.615384615,0,0.230769231,
2018,5,1,2,4,13,6,2,6,4,10,1,21,8,0.619047619,0.285714286,0.095238095,0.285714286,0.19047619,0.476190476,0.047619048,0.380952381,
2018,5,1,5,4,15,3,1,3,2,13,1,19,4,0.789473684,0.157894737,0.052631579,0.157894737,0.105263158,0.684210526,0.052631579,0.210526316,
2018,5,1,6,2,9,8,4,5,0,16,0,21,8,0.428571429,0.380952381,0.19047619,0.238095238,0,0.761904762,0,0.380952381,
2018,5,1,7,3,6,3,3,3,2,7,0,12,4,0.5,0.25,0.25,0.25,0.166666667,0.583333333,0,0.333333333,
2018,5,1,8,3,10,0,1,1,3,7,0,11,2,0.909090909,0,0.090909091,0.090909091,0.272727273,0.636363636,0,0.181818182,
2018,5,1,9,3,11,0,0,3,5,3,0,11,0,1,0,0,0.272727273,0.454545455,0.272727273,0,0,
2018,5,2,10,3,12,2,0,1,7,6,0,14,1,0.857142857,0.142857143,0,0.071428571,0.5,0.428571429,0,0.071428571,
2018,5,2,11,4,12,6,4,4,1,17,0,22,13,0.545454545,0.272727273,0.181818182,0.181818182,0.045454545,0.772727273,0,0.590909091,
2018,5,2,15,2,9,2,0,4,3,4,0,11,1,0.818181818,0.181818182,0,0.363636364,0.272727273,0.363636364,0,0.090909091,
2018,5,2,17,2,11,8,1,1,0,17,2,20,9,0.55,0.4,0.05,0.05,0,0.85,0.1,0.45,
2018,5,2,18,3,8,5,0,3,4,6,0,13,6,0.615384615,0.384615385,0,0.230769231,0.307692308,0.461538462,0,0.461538462,
2018,5,3,20,3,9,0,0,3,4,2,0,9,0,1,0,0,0.333333333,0.444444444,0.222222222,0,0,
2018,5,3,21,3,9,11,3,4,2,15,2,23,14,0.391304348,0.47826087,0.130434783,0.173913043,0.086956522,0.652173913,0.086956522,0.608695652,
2018,5,3,23,2,14,7,0,6,3,12,0,21,5,0.666666667,0.333333333,0,0.285714286,0.142857143,0.571428571,0,0.238095238,
2018,5,3,24,2,11,5,1,1,5,11,0,17,2,0.647058824,0.294117647,0.058823529,0.058823529,0.294117647,0.647058824,0,0.117647059,
2018,5,3,25,3,6,1,0,3,1,3,0,7,0,0.857142857,0.142857143,0,0.428571429,0.142857143,0.428571429,0,0,
