Year,Trial,Block,Cage,NumPlants,LeafSurf,SurRelativeTime
2018,5,1,1,2,Top,0.076923077
2018,5,1,2,4,Top,0.285714286
2018,5,1,5,4,Top,0.157894737
2018,5,1,6,2,Top,0.238095238
2018,5,1,7,3,Top,0.25
2018,5,1,8,3,Top,0.090909091
2018,5,1,9,3,Top,0.272727273
2018,5,2,10,3,Top,0.071428571
2018,5,2,11,4,Top,0.181818182
2018,5,2,15,2,Top,0.363636364
2018,5,2,17,2,Top,0.05
2018,5,2,18,3,Top,0.230769231
2018,5,3,20,3,Top,0.333333333
2018,5,3,21,3,Top,0.173913043
2018,5,3,23,2,Top,0.285714286
2018,5,3,24,2,Top,0.058823529
2018,5,3,25,3,Top,0.428571429
2018,5,3,26,2,Top,0.111111111
2018,5,3,27,4,Top,0.1
2018,6,1,2,4,Top,0.173913043
2018,6,1,5,3,Top,0.153846154
2018,6,1,7,2,Top,0.416666667
2018,6,2,11,3,Top,0.083333333
2018,6,2,12,4,Top,0.15
2018,6,2,14,3,Top,0.090909091
2018,6,3,19,2,Top,0.4
2018,6,3,20,3,Top,0.285714286
2018,6,3,22,3,Top,0.111111111
2018,6,3,23,4,Top,0.15
2018,6,3,25,4,Top,0.181818182
2018,6,3,26,2,Top,0.2
2018,6,4,28,2,Top,0.083333333
2018,6,4,29,4,Top,0.047619048
2018,6,4,30,4,Top,0.045454545
2018,6,4,33,3,Top,0.083333333
2018,6,4,34,2,Top,0.176470588
2018,6,4,36,2,Top,0.142857143
2018,6,5,37,4,Top,0.272727273
2018,6,5,38,3,Top,0.166666667
2018,6,5,39,2,Top,0.2
2018,6,5,40,2,Top,0.133333333
2018,6,5,41,2,Top,0.0625
2018,6,5,42,4,Top,0.047619048
2018,6,5,43,3,Top,0.047619048
2018,6,5,45,3,Top,0.2
2018,6,6,47,3,Top,0.166666667
2018,6,6,50,4,Top,0.055555556
2018,6,6,51,4,Top,0.130434783
2018,6,6,52,4,Top,0.045454545
2018,6,6,53,3,Top,0.333333333
2018,6,6,54,3,Top,0.111111111
2018,6,7,55,3,Top,0.222222222
2018,6,7,56,3,Top,0.142857143
2018,6,7,58,3,Top,0.105263158
2018,6,7,60,2,Top,0.142857143
2018,6,8,67,2,Top,0.1
2018,6,8,69,3,Top,0.333333333
2018,6,8,70,4,Top,0.04
2018,6,8,72,3,Top,0.055555556
2018,6,9,73,2,Top,0.083333333
2018,6,9,77,4,Top,0.045454545
2018,6,9,79,3,Top,0.333333333
2018,6,9,80,3,Top,0.25
2018,7,1,1,2,Top,0.222222222
2018,7,1,2,4,Top,0.12
2018,7,1,3,2,Top,0.230769231
