Year,Trial,Block,Cage,NumPlants,Location,LocRelativeTime
2018,5,1,1,2,Top,0.461538462
2018,5,1,2,4,Top,0.619047619
2018,5,1,5,4,Top,0.789473684
2018,5,1,6,2,Top,0.428571429
2018,5,1,7,3,Top,0.5
2018,5,1,8,3,Top,0.909090909
2018,5,1,9,3,Top,1
2018,5,2,10,3,Top,0.857142857
2018,5,2,11,4,Top,0.545454545
2018,5,2,15,2,Top,0.818181818
2018,5,2,17,2,Top,0.55
2018,5,2,18,3,Top,0.615384615
2018,5,3,20,3,Top,1
2018,5,3,21,3,Top,0.391304348
2018,5,3,23,2,Top,0.666666667
2018,5,3,24,2,Top,0.647058824
2018,5,3,25,3,Top,0.857142857
2018,5,3,26,2,Top,0.722222222
2018,5,3,27,4,Top,0.65
2018,6,1,2,4,Top,0.739130435
2018,6,1,5,3,Top,0.923076923
2018,6,1,7,2,Top,0.583333333
2018,6,2,11,3,Top,0.916666667
2018,6,2,12,4,Top,0.7
2018,6,2,14,3,Top,0.909090909
2018,6,3,19,2,Top,0.4
2018,6,3,20,3,Top,1
2018,6,3,22,3,Top,0.888888889
2018,6,3,23,4,Top,0.65
2018,6,3,25,4,Top,0.545454545
2018,6,3,26,2,Top,1
2018,6,4,28,2,Top,0.833333333
2018,6,4,29,4,Top,0.666666667
2018,6,4,30,4,Top,0.909090909
2018,6,4,33,3,Top,0.916666667
2018,6,4,34,2,Top,0.588235294
2018,6,4,36,2,Top,0.857142857
2018,6,5,37,4,Top,0.545454545
2018,6,5,38,3,Top,1
2018,6,5,39,2,Top,0.533333333
2018,6,5,40,2,Top,0.666666667
2018,6,5,41,2,Top,0.625
2018,6,5,42,4,Top,0.571428571
2018,6,5,43,3,Top,0.761904762
2018,6,5,45,3,Top,1
2018,6,6,47,3,Top,0.583333333
2018,6,6,50,4,Top,0.777777778
2018,6,6,51,4,Top,0.52173913
2018,6,6,52,4,Top,0.636363636
2018,6,6,53,3,Top,0.444444444
2018,6,6,54,3,Top,0.555555556
2018,6,7,55,3,Top,1
