Year,Trial,ID,NumPlants,Block,TimesObsNatal,MoveInstar,TimesMoved,PlantAbandonment
2017,1,1,4,1,14,4,5,4
2017,1,2,3,1,14,4,3,2
2017,1,3,2,1,15,4,4,3
2017,1,4,3,1,12,4,4,3
2017,1,5,4,1,14,4,6,5
2017,1,9,2,1,14,4,4,3
2017,1,10,4,2,10,3,2,2
2017,1,11,2,2,22,5,1,1
2017,1,12,2,2,14,4,2,2
2017,1,13,3,2,16,4,4,4
2017,1,15,2,2,10,3,5,5
2017,1,19,3,3,12,5,8,4
2017,1,21,2,3,10,4,4,4
2017,1,23,3,3,8,3,5,3
2017,1,25,4,3,17,5,3,3
2017,1,26,2,3,10,3,6,5
2017,2,2,4,1,9,3,2,2
2017,2,3,3,1,16,4,5,4
2017,2,4,4,1,11,3,3,3
2017,2,5,2,1,11,3,7,4
2017,2,7,3,1,18,4,3,3
2017,2,9,2,1,15,4,3,3
2017,2,10,2,2,8,3,6,4
2017,2,11,4,2,18,4,2,2
2017,2,14,2,2,8,3,6,4
2017,2,15,4,2,8,3,6,4
2017,2,16,4,2,22,5,2,2
2017,2,17,3,2,14,5,3,3
2017,2,20,4,3,10,3,8,5
2017,2,21,2,3,13,4,1,1
2017,2,22,3,3,14,5,4,3
2017,2,24,2,3,11,4,5,3
2017,2,25,4,3,19,5,2,1
2017,2,26,2,3,16,5,3,2
2017,3,2,3,1,11,4,4,3
2017,3,3,2,1,14,5,2,2
2017,3,5,2,1,18,5,2,2
2017,3,6,2,1,12,4,3,2
2017,3,7,3,1,16,5,1,1
2017,3,8,4,1,8,3,3,3
2017,3,12,4,2,12,5,3,3
2017,3,13,2,2,11,4,3,2
2017,3,14,3,2,10,4,4,4
2017,3,15,4,2,16,5,1,1
2017,3,16,4,2,16,5,2,2
2017,3,17,2,2,11,5,5,3
2017,3,18,3,2,14,5,3,3
2017,3,19,4,3,15,5,3,3
2017,3,20,4,3,1,1,3,3
2017,3,21,3,3,7,4,3,2
2017,3,22,4,3,15,5,3,2
2017,3,23,2,3,2,2,3,3
2017,3,24,2,3,18,5,2,2
2017,3,25,2,3,14,5,2,2
2017,3,26,3,3,13,5,3,2
2017,4,1,2,1,12,4,3,2
2017,4,2,3,1,10,4,5,4
2017,4,3,4,1,19,5,2,3
2017,4,4,4,1,8,3,3,3
2017,4,5,4,1,22,5,1,1
2017,4,6,2,1,13,4,6,5
2017,4,7,2,1,12,4,6,4
2017,4,10,2,2,15,4,5,4
2017,4,11,3,2,6,2,5,4
2017,4,12,4,2,11,4,3,2
2017,4,13,3,2,16,4,3,2
2017,4,14,3,2,22,5,1,1
2017,4,16,4,2,8,3,6,6
2017,4,17,2,2,16,5,2,2
2017,4,18,4,2,8,3,7,5
2017,4,19,3,3,15,4,2,2
2017,4,20,4,3,10,4,7,5
2017,4,21,4,3,12,4,3,3
2017,4,22,3,3,7,3,4,4
2017,4,25,2,3,16,5,2,2
2017,4,26,4,3,4,2,4,4
2017,4,27,2,3,23,5,4,3
