Year,Trial,ID,Block,NumPlants,TimesObsNatal,MoveInstar,On-RametMvt
2018,5,1,1,2,12,4,3
2018,5,2,1,4,21,5,8
2018,5,5,1,4,7,4,3
2018,5,6,1,2,20,5,8
2018,5,7,1,3,11,4,4
2018,5,8,1,3,11,4,2
2018,5,9,1,3,10,4,0
2018,5,10,2,3,14,4,1
2018,5,11,2,4,20,5,13
2018,5,15,2,2,10,4,1
2018,5,17,2,2,19,5,9
2018,5,18,2,3,13,4,6
2018,5,20,3,3,9,4,0
2018,5,21,3,3,22,5,14
2018,5,23,3,2,20,5,5
2018,5,24,3,2,16,5,2
2018,5,25,3,3,6,3,0
2018,5,26,3,2,17,5,5
2018,5,27,3,4,17,5,6
2018,6,2,1,4,23,5,6
2018,6,5,1,3,13,4,0
2018,6,7,1,2,12,4,4
2018,6,11,2,3,12,4,2
2018,6,12,2,4,9,3,4
2018,6,14,2,3,10,4,2
2018,6,19,3,2,5,2,1
2018,6,20,3,3,7,2,0
2018,6,22,3,3,9,3,2
2018,6,23,3,4,15,5,2
2018,6,25,3,4,12,4,2
2018,6,26,3,2,5,2,0
2018,6,28,4,2,12,4,2
2018,6,29,4,4,11,4,5
2018,6,30,4,4,17,5,2
2018,6,33,4,3,12,4,2
2018,6,34,4,2,16,5,6
2018,6,36,4,2,7,2,1
2018,6,37,5,4,7,3,0
2018,6,38,5,3,12,4,0
2018,6,39,5,2,14,4,4
2018,6,40,5,2,15,4,4
2018,6,41,5,2,15,5,6
2018,6,42,5,4,12,4,2
2018,6,43,5,3,20,5,4
2018,6,45,5,3,5,2,0
2018,6,47,6,3,12,4,6
2018,6,50,6,4,7,3,0
2018,6,51,6,4,17,5,3
2018,6,52,6,4,5,2,0
2018,6,53,6,3,8,3,2
2018,6,54,6,3,9,4,1
2018,6,55,7,3,9,3,0
2018,6,56,7,3,6,3,0
2018,6,58,7,3,19,5,4
2018,6,60,7,2,7,3,0
2018,6,67,8,2,10,3,3
2018,6,69,8,3,9,3,6
2018,6,70,8,4,12,4,4
2018,6,72,8,3,17,5,3
2018,6,73,9,2,12,4,3
2018,6,77,9,4,13,4,1
2018,6,79,9,3,8,3,2
2018,6,80,9,3,12,4,2
2018,7,1,1,2,9,4,1
2018,7,2,1,4,14,4,5
2018,7,3,1,2,14,4,3
2018,7,5,1,3,6,2,1
2018,7,9,1,4,6,2,4
2018,7,11,3,2,11,4,4
2018,7,12,3,3,18,5,9
2018,7,13,3,3,14,4,6
2018,7,15,3,2,16,4,7
2018,7,16,3,4,14,4,0
2018,7,17,3,4,8,3,0
2018,7,18,3,4,21,5,2
2018,7,20,4,4,18,5,3
2018,7,21,4,3,17,5,8
2018,7,22,4,3,13,4,6
2018,7,23,4,3,15,4,0
2018,7,26,4,2,12,4,3
2018,7,28,4,2,15,4,6
2018,7,30,6,4,10,3,4
2018,7,31,6,4,18,5,7
2018,7,33,6,2,13,4,4
2018,7,35,6,3,15,5,5
